student_id,gender,age,study_hours,attendance,performance_score,household_income_bracket,dependents,background,government_assistance,scholarship_eligibility
1001,Male,20,12,83.33333333,0,High,0,Rural,0,Not Eligible
1002,Male,19,27,90,75.65956701,Mid-High,4,Urban,0,Not Eligible
1003,Male,19,12,83.33333333,0,High,0,Urban,0,Not Eligible
1004,Female,20,21,90,70.63295894,High,1,Rural,0,Not Eligible
1005,Female,45,21,90,69.27863967,Mid-High,3,Rural,0,Not Eligible
1006,Male,50,14,90,63.87438488,High,2,Rural,0,Not Eligible
1007,Female,18,27,90,75.60031554,Mid-Low,3,Rural,1,Eligible
1008,Male,22,12,83.33333333,0,Mid-High,0,Urban,0,Not Eligible
1009,Female,21,27,90,76.61996168,Mid-Low,5,Urban,1,Eligible
1010,Female,18,21,90,68.09361031,Mid-High,0,Urban,0,Not Eligible
1011,Female,18,27,90,72.56025944,Mid-High,0,Rural,0,Not Eligible
1012,Female,18,27,90,72.27376883,Mid-High,3,Urban,0,Eligible
1013,Female,19,12,83.33333333,0,High,0,Urban,0,Not Eligible
1014,Female,21,14,90,58.99102213,Mid-Low,2,Urban,0,Eligible
1015,Female,18,21,90,69.05074941,Mid-Low,1,Rural,1,Eligible
1016,Female,20,12,83.33333333,36.09781751,High,0,Rural,0,Not Eligible
1017,Female,18,14,90,62.89771233,High,2,Rural,0,Not Eligible
1018,Female,18,27,90,76.16434394,High,0,Urban,0,Not Eligible
1019,Female,20,21,90,67.68340784,Mid-High,3,Urban,0,Not Eligible
1020,Female,18,21,90,68.82285915,High,3,Urban,0,Not Eligible
1021,Female,21,12,83.33333333,0,Mid-Low,2,Urban,1,Eligible
1022,Female,20,14,90,62.5216934,,3,Urban,0,Not Eligible
1023,Female,18,21,90,70.32042373,,3,Urban,0,Not Eligible
1024,Female,19,21,90,70.17392284,Mid-Low,5,Urban,1,Eligible
1025,Female,19,27,90,74.96026946,Mid-High,3,Rural,0,Not Eligible
1026,Female,18,14,90,61.80383907,Mid-High,1,Urban,0,Eligible
1027,Female,21,21,90,67.4392397,Mid-High,2,Rural,0,Not Eligible
1028,Female,18,21,90,70.19020072,Mid-High,0,Urban,0,Not Eligible
1029,Female,20,21,90,66.54395653,High,3,Urban,0,Not Eligible
1030,Male,19,27,90,72.87930581,,0,Urban,0,Not Eligible
1031,Male,21,14,90,61.33503625,High,0,Urban,0,Not Eligible
1032,Male,20,21,90,71.7398545,Mid-High,1,Urban,0,Not Eligible
1033,Male,18,21,90,67.9112981,Mid-High,1,Rural,0,Not Eligible
1034,Female,19,27,90,73.95039004,High,1,Rural,0,Not Eligible
1035,Male,34,21,90,70.63295894,,0,Rural,0,Not Eligible
1036,Male,37,12,83.33333333,27.34683145,,3,Urban,0,Not Eligible
1037,Male,43,12,83.33333333,0,,0,Rural,0,Not Eligible
1038,Female,55,14,90,60.16302919,High,0,Urban,0,Not Eligible
1039,Female,39,14,90,61.80383907,High,0,Rural,0,Not Eligible
1040,Female,20,14,90,64.72083443,Mid-High,3,Urban,1,Not Eligible
1041,Female,18,12,83.33333333,34.8672101,High,2,Rural,0,Not Eligible
1042,Female,22,27,90,83.68130423,Mid-High,4,Rural,0,Not Eligible
1043,Female,22,27,90,77.31183652,High,2,Rural,0,Not Eligible
1044,Female,20,27,90,73.28950828,High,2,Urban,0,Not Eligible
1045,Female,29,12,83.33333333,0,Mid-High,0,Urban,0,Not Eligible
1046,Female,24,21,90,70.64598124,Mid-High,2,Urban,0,Not Eligible
1047,Female,18,21,90,68.0024542,Mid-High,0,Urban,0,Not Eligible
1048,Female,22,27,90,74.6242941,Mid-Low,1,Urban,1,Eligible
1049,Female,21,21,90,67.78107509,Mid-Low,5,Rural,1,Eligible
1050,Female,19,21,90,68.82285915,Mid-Low,2,Urban,1,Eligible
1051,Female,24,27,90,76.11534753,Mid-High,0,Urban,0,Eligible
1052,Female,19,14,90,64.72083443,Mid-High,2,Urban,1,Eligible
