student_id,gender,age,study_hours,attendance,performance_score,household_income_bracket,dependents,background,government_assistance,scholarship_eligibility,eligibility_numeric,time_period
1001,Male,20.0,12,83.33333333,0.0,High,0,Rural,0,Not Eligible,0,
1002,Male,19.0,27,90.0,75.65956701,Mid-High,4,Urban,0,Not Eligible,0,2024-s1
1003,Male,19.0,12,83.33333333,0.0,High,0,Urban,0,Not Eligible,0,2024-s1
1004,Female,20.0,21,90.0,70.63295894,High,1,Rural,0,Not Eligible,0,2024-s1
1005,Female,45.0,21,90.0,69.27863967,Mid-High,3,Rural,0,Not Eligible,0,2024-s1
1006,Male,50.0,14,90.0,63.87438488,High,2,Rural,0,Not Eligible,0,2024-s1
1007,Female,18.0,27,90.0,75.60031554,Mid-Low,3,Rural,1,Eligible,1,2024-s1
1008,Male,22.0,12,83.33333333,0.0,Mid-High,0,Urban,0,Not Eligible,0,2024-s1
1009,Female,21.0,27,90.0,76.61996168,Mid-Low,5,Urban,1,Eligible,1,2024-s1
1010,Female,18.0,21,90.0,68.09361031,Mid-High,0,Urban,0,Not Eligible,0,2024-s1
1011,Female,18.0,27,90.0,72.56025944,Mid-High,0,Rural,0,Not Eligible,0,2024-s1
1012,Female,18.0,27,90.0,72.27376883,Mid-High,3,Urban,0,Eligible,1,2024-s1
1013,Female,19.0,12,83.33333333,0.0,High,0,Urban,0,Not Eligible,0,2024-s1
1014,Female,21.0,14,90.0,58.99102213,Mid-Low,2,Urban,0,Eligible,1,2024-s1
1015,Female,18.0,21,90.0,69.05074941,Mid-Low,1,Rural,1,Eligible,1,2024-s1
1016,Female,20.0,12,83.33333333,36.09781751,High,0,Rural,0,Not Eligible,0,2024-s1
1017,Female,18.0,14,90.0,62.89771233,High,2,Rural,0,Not Eligible,0,2024-s1
1018,Female,18.0,27,90.0,76.16434394,High,0,Urban,0,Not Eligible,0,2024-s1
1019,Female,20.0,21,90.0,67.68340784,Mid-High,3,Urban,0,Not Eligible,0,2024-s1
1020,Female,18.0,21,90.0,68.82285915,High,3,Urban,0,Not Eligible,0,2024-s1
1021,Female,21.0,12,83.33333333,0.0,Mid-Low,2,Urban,1,Eligible,1,2024-s1
1022,Female,20.0,14,90.0,62.5216934,,3,Urban,0,Not Eligible,0,2024-s1
1023,Female,18.0,21,90.0,70.32042373,,3,Urban,0,Not Eligible,0,2024-s1
1024,Female,19.0,21,90.0,70.17392284,Mid-Low,5,Urban,1,Eligible,1,2024-s1
1025,Female,19.0,27,90.0,74.96026946,Mid-High,3,Rural,0,Not Eligible,0,2024-s1
1026,Female,18.0,14,90.0,61.80383907,Mid-High,1,Urban,0,Eligible,1,2024-s1
1027,Female,21.0,21,90.0,67.4392397,Mid-High,2,Rural,0,Not Eligible,0,2024-s1
1028,Female,18.0,21,90.0,70.19020072,Mid-High,0,Urban,0,Not Eligible,0,2024-s1
1029,Female,20.0,21,90.0,66.54395653,High,3,Urban,0,Not Eligible,0,2024-s1
1030,Male,19.0,27,90.0,72.87930581,,0,Urban,0,Not Eligible,0,2024-s1
1031,Male,21.0,14,90.0,61.33503625,High,0,Urban,0,Not Eligible,0,2024-s1
1032,Male,20.0,21,90.0,71.7398545,Mid-High,1,Urban,0,Not Eligible,0,2024-s1
1033,Male,18.0,21,90.0,67.9112981,Mid-High,1,Rural,0,Not Eligible,0,2024-s1
1034,Female,19.0,27,90.0,73.95039004,High,1,Rural,0,Not Eligible,0,2024-s1
1035,Male,34.0,21,90.0,70.63295894,,0,Rural,0,Not Eligible,0,2024-s1
1036,Male,37.0,12,83.33333333,27.34683145,,3,Urban,0,Not Eligible,0,2024-s1
1037,Male,43.0,12,83.33333333,0.0,,0,Rural,0,Not Eligible,0,2024-s1
1038,Female,55.0,14,90.0,60.16302919,High,0,Urban,0,Not Eligible,0,2024-s1
1039,Female,39.0,14,90.0,61.80383907,High,0,Rural,0,Not Eligible,0,2024-s1
1040,Female,20.0,14,90.0,64.72083443,Mid-High,3,Urban,1,Not Eligible,0,2024-s1
1041,Female,18.0,12,83.33333333,34.8672101,High,2,Rural,0,Not Eligible,0,2024-s1
1042,Female,22.0,27,90.0,83.68130423,Mid-High,4,Rural,0,Not Eligible,0,2024-s1
1043,Female,22.0,27,90.0,77.31183652,High,2,Rural,0,Not Eligible,0,2024-s1
1044,Female,20.0,27,90.0,73.28950828,High,2,Urban,0,Not Eligible,0,2024-s1
1045,Female,29.0,12,83.33333333,0.0,Mid-High,0,Urban,0,Not Eligible,0,2024-s1
1046,Female,24.0,21,90.0,70.64598124,Mid-High,2,Urban,0,Not Eligible,0,2024-s1
1047,Female,18.0,21,90.0,68.0024542,Mid-High,0,Urban,0,Not Eligible,0,2024-s1
1048,Female,22.0,27,90.0,74.6242941,Mid-Low,1,Urban,1,Eligible,1,2024-s1
1049,Female,21.0,21,90.0,67.78107509,Mid-Low,5,Rural,1,Eligible,1,2024-s1
1050,Female,19.0,21,90.0,68.82285915,Mid-Low,2,Urban,1,Eligible,1,2024-s1
1051,Female,24.0,27,90.0,76.11534753,Mid-High,0,Urban,0,Eligible,1,2024-s1
1052,Female,19.0,14,90.0,64.72083443,Mid-High,2,Urban,1,Eligible,1,2024-s1
1053,Female,20.0,21,90.0,68.36707862,Mid-High,4,Urban,0,Eligible,1,2024-s1
1054,Female,19.0,27,90.0,83.44690282,High,1,Urban,0,Not Eligible,0,2024-s1
1055,Female,27.0,14,90.0,59.06915593,Mid-High,2,Urban,0,Not Eligible,0,2024-s1
1056,Female,18.0,27,90.0,72.85043971,High,1,Urban,0,Not Eligible,0,2024-s1
1057,Female,39.0,12,83.33333333,0.0,,3,Rural,0,Not Eligible,0,2024-s1
1058,Female,27.0,21,90.0,70.82829345,High,3,Urban,0,Not Eligible,0,2024-s1
